"Fact","Fact Note","San Diego County, California","Value Note for San Diego County, California"
"Population estimates, July 1, 2023, (V2023)","","3,269,973",""
"Population estimates base, April 1, 2020, (V2023)","","3,298,648",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.9%",""
"Population, Census, April 1, 2020","","3,298,634",""
"Population, Census, April 1, 2010","","3,095,313",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","20.6%",""
"Persons 65 years and over, percent","","15.9%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","74.0%",""
"Black or African American alone, percent","(a)","5.5%",""
"American Indian and Alaska Native alone, percent","(a)","1.4%",""
"Asian alone, percent","(a)","13.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.6%",""
"Two or More Races, percent","","5.1%",""
"Hispanic or Latino, percent","(b)","34.9%",""
"White alone, not Hispanic or Latino, percent","","43.1%",""
"Veterans, 2018-2022","","194,517",""
"Foreign born persons, percent, 2018-2022","","22.6%",""
"Housing Units, July 1, 2023, (V2023)","","1,262,043",""
"Owner-occupied housing unit rate, 2018-2022","","54.2%",""
"Median value of owner-occupied housing units, 2018-2022","","$725,200",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$2,993",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$767",""
"Median gross rent, 2018-2022","","$2,011",""
"Building Permits, 2023","","11,469",""
"Households, 2018-2022","","1,149,157",""
"Persons per household, 2018-2022","","2.78",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","86.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","36.6%",""
"Households with a computer, percent, 2018-2022","","96.8%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","93.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","88.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","41.0%",""
"With a disability, under age 65 years, percent, 2018-2022","","6.6%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","59.0%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","14,854,705",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","26,431,322",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","4,096,762",""
"Total retail sales, 2017 ($1,000)","(c)","46,665,943",""
"Total retail sales per capita, 2017","(c)","$14,060",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","26.1",""
"Median household income (in 2022 dollars), 2018-2022","","$96,974",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$46,957",""
"Persons in poverty, percent","","10.7%",""
"Total employer establishments, 2022","","92,799",""
"Total employment, 2022","","1,338,161",""
"Total annual payroll, 2022 ($1,000)","","100,487,109",""
"Total employment, percent change, 2021-2022","","7.1%",""
"Total nonemployer establishments, 2021","","291,591",""
"All employer firms, Reference year 2017","","69,875",""
"Men-owned employer firms, Reference year 2017","","40,383",""
"Women-owned employer firms, Reference year 2017","","14,015",""
"Minority-owned employer firms, Reference year 2017","","16,665",""
"Nonminority-owned employer firms, Reference year 2017","","46,760",""
"Veteran-owned employer firms, Reference year 2017","","4,323",""
"Nonveteran-owned employer firms, Reference year 2017","","59,110",""
"Population per square mile, 2020","","783.5",""
"Population per square mile, 2010","","735.8",""
"Land area in square miles, 2020","","4,210.23",""
"Land area in square miles, 2010","","4,206.63",""
"FIPS Code","","""06073""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
