"stop_id","pid","race"
"1","1","Hispanic/Latino(a)"
"2","1","Pacific Islander"
"2","1","White"
"2","1","Black/African American"
"2","1","Asian"
"2","1","Native American"
"2","1","Hispanic/Latino(a)"
"2","1","Middle Eastern or South Asian"
"3","1","White"
"4","1","Hispanic/Latino(a)"
"5","1","Asian"
"5","1","White"
"5","1","Pacific Islander"
"5","1","Native American"
"5","1","Middle Eastern or South Asian"
"5","1","Hispanic/Latino(a)"
"5","1","Black/African American"
"6","1","Pacific Islander"
"6","1","Black/African American"
"6","1","Asian"
"6","1","Hispanic/Latino(a)"
"6","1","Native American"
"6","1","Middle Eastern or South Asian"
"6","1","White"
"7","1","Black/African American"
"7","2","Black/African American"
"7","3","Black/African American"
"7","4","Black/African American"
"8","1","Pacific Islander"
"8","1","Middle Eastern or South Asian"
"8","1","Native American"
"8","1","Black/African American"
"8","2","Pacific Islander"
"8","2","Hispanic/Latino(a)"
"8","2","Middle Eastern or South Asian"
"8","2","Black/African American"
"9","1","White"
"10","1","Black/African American"
"11","1","White"
"12","1","White"
"13","1","Hispanic/Latino(a)"
"13","2","Hispanic/Latino(a)"
"13","3","Black/African American"
"14","1","White"
"15","1","White"
"16","1","Hispanic/Latino(a)"
"17","1","White"
"18","1","Hispanic/Latino(a)"
"19","1","Black/African American"
"20","1","White"
"21","1","White"
"22","1","Black/African American"
"23","1","Black/African American"
"24","1","White"
"25","1","Hispanic/Latino(a)"
"26","1","Hispanic/Latino(a)"
"27","1","Hispanic/Latino(a)"
"28","1","White"
"29","1","Middle Eastern or South Asian"
"30","1","White"
"31","1","Black/African American"
"32","1","White"
"32","2","Asian"
"33","1","White"
"33","2","Hispanic/Latino(a)"
"34","1","Black/African American"
"34","2","Black/African American"
"35","1","Native American"
"35","1","White"
"35","1","Pacific Islander"
"35","1","Asian"
"35","1","Black/African American"
"35","1","Middle Eastern or South Asian"
"35","1","Hispanic/Latino(a)"
"36","1","Hispanic/Latino(a)"
"37","1","Hispanic/Latino(a)"
"38","1","Hispanic/Latino(a)"
"39","1","Hispanic/Latino(a)"
"40","1","White"
"41","1","Black/African American"
"42","1","Asian"
"43","1","Hispanic/Latino(a)"
"44","1","Hispanic/Latino(a)"
"45","1","Middle Eastern or South Asian"
"45","1","Black/African American"
"45","1","Asian"
"45","1","White"
"45","1","Native American"
"45","1","Pacific Islander"
"45","1","Hispanic/Latino(a)"
"46","1","Black/African American"
"47","1","Hispanic/Latino(a)"
"48","1","White"
"49","1","White"
"50","1","Hispanic/Latino(a)"
"51","1","Asian"
"52","1","Native American"
"52","1","Hispanic/Latino(a)"
"52","1","White"
"53","1","Hispanic/Latino(a)"
"54","1","White"
"55","1","Black/African American"
"56","1","White"
"57","1","White"
"58","1","White"
"59","1","White"
"60","1","White"
"61","1","Hispanic/Latino(a)"
"62","1","Asian"
"63","1","White"
"64","1","Hispanic/Latino(a)"
"65","1","Hispanic/Latino(a)"
"66","1","Asian"
"67","1","Black/African American"
"68","1","Hispanic/Latino(a)"
"69","1","White"
"70","1","Hispanic/Latino(a)"
"71","1","Hispanic/Latino(a)"
"72","1","Hispanic/Latino(a)"
"73","1","Hispanic/Latino(a)"
"74","1","Hispanic/Latino(a)"
"75","1","Black/African American"
"75","2","Black/African American"
"76","1","Hispanic/Latino(a)"
"76","2","Hispanic/Latino(a)"
"77","1","White"
"78","1","Black/African American"
"79","1","Black/African American"
"80","1","Hispanic/Latino(a)"
"81","1","Asian"
"82","1","Black/African American"
"83","1","White"
"84","1","White"
"85","1","White"
"86","1","Asian"
"87","1","White"
"88","1","White"
"89","1","Hispanic/Latino(a)"
"89","2","Hispanic/Latino(a)"
"90","1","White"
"91","1","White"
"92","1","Hispanic/Latino(a)"
"93","1","White"
"94","1","White"
"95","1","White"
"96","1","White"
"97","1","White"
"98","1","White"
"98","2","Asian"
"98","3","Middle Eastern or South Asian"
"98","4","Asian"
"99","1","Asian"
"100","1","White"
"101","1","Middle Eastern or South Asian"
"102","1","White"
"103","1","White"
"104","1","Hispanic/Latino(a)"
"105","1","Hispanic/Latino(a)"
"106","1","White"
"107","1","White"
"108","1","White"
"109","1","White"
"110","1","White"
"111","1","Hispanic/Latino(a)"
"112","1","Black/African American"
"113","1","White"
"114","1","White"
"115","1","Hispanic/Latino(a)"
"116","1","White"
"117","1","White"
"118","1","Hispanic/Latino(a)"
"119","1","Hispanic/Latino(a)"
"120","1","Black/African American"
"121","1","White"
"122","1","Black/African American"
"123","1","White"
"124","1","White"
"125","1","White"
"126","1","White"
"127","1","Asian"
"128","1","White"
"129","1","White"
"130","1","Hispanic/Latino(a)"
"131","1","White"
"132","1","Hispanic/Latino(a)"
"133","1","White"
"134","1","White"
"135","1","Hispanic/Latino(a)"
"136","1","Hispanic/Latino(a)"
"137","1","Asian"
"138","1","White"
"139","1","White"
"140","1","White"
"141","1","White"
"142","1","White"
"143","1","White"
"144","1","White"
"145","1","Asian"
"146","1","Hispanic/Latino(a)"
"147","1","Hispanic/Latino(a)"
"148","1","White"
"149","1","Black/African American"
"150","1","Hispanic/Latino(a)"
"151","1","White"
"151","1","Hispanic/Latino(a)"
"152","1","White"
"153","1","Asian"
"154","1","White"
"155","1","White"
"155","2","White"
"156","1","Black/African American"
"156","2","Asian"
"157","1","Black/African American"
"158","1","White"
"159","1","Hispanic/Latino(a)"
"159","2","Hispanic/Latino(a)"
"159","3","Hispanic/Latino(a)"
"160","1","White"
"161","1","Asian"
"161","1","Hispanic/Latino(a)"
"161","1","White"
"161","1","Native American"
"161","1","Pacific Islander"
"161","1","Middle Eastern or South Asian"
"161","1","Black/African American"
"162","1","Hispanic/Latino(a)"
"163","1","White"
"164","1","Black/African American"
"164","2","White"
"165","1","Hispanic/Latino(a)"
"166","1","Black/African American"
"167","1","Pacific Islander"
"168","1","Asian"
"169","1","Black/African American"
"170","1","Hispanic/Latino(a)"
"171","1","Hispanic/Latino(a)"
"172","1","Hispanic/Latino(a)"
"173","1","Black/African American"
"174","1","Middle Eastern or South Asian"
"174","1","Native American"
"174","1","White"
"174","1","Black/African American"
"174","1","Pacific Islander"
"174","1","Asian"
"174","1","Hispanic/Latino(a)"
"175","1","Pacific Islander"
"175","1","Asian"
"175","1","Hispanic/Latino(a)"
"175","1","Middle Eastern or South Asian"
"175","1","Native American"
"175","1","White"
"175","1","Black/African American"
"176","1","Hispanic/Latino(a)"
"177","1","White"
"178","1","White"
"179","1","Black/African American"
"179","1","Middle Eastern or South Asian"
"179","1","Asian"
"179","1","Native American"
"179","1","Pacific Islander"
"179","1","White"
"179","1","Hispanic/Latino(a)"
"180","1","White"
"181","1","Black/African American"
"182","1","White"
"183","1","White"
"184","1","White"
"185","1","White"
"185","2","Hispanic/Latino(a)"
"186","1","Hispanic/Latino(a)"
"186","2","Hispanic/Latino(a)"
"186","3","White"
"186","4","Black/African American"
"186","5","Hispanic/Latino(a)"
"186","6","White"
"186","7","White"
"187","1","Black/African American"
"188","1","Hispanic/Latino(a)"
"189","1","Hispanic/Latino(a)"
"190","1","White"
"191","1","Black/African American"
"192","1","Black/African American"
"193","1","Pacific Islander"
"194","1","White"
"195","1","Hispanic/Latino(a)"
"196","1","Hispanic/Latino(a)"
"197","1","White"
"198","1","Black/African American"
"199","1","Hispanic/Latino(a)"
"200","1","Hispanic/Latino(a)"
"201","1","White"
"202","1","Black/African American"
"203","1","Black/African American"
"204","1","White"
"204","1","Black/African American"
"205","1","White"
