"stop_id","pid","resultkey","result","code","resulttext"
"1","1","3","Citation for infraction","42127","12500(A) VC - DRIVE W/O LICENSE (I) 42127"
"2","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"3","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"4","1","6","Custodial Arrest without warrant","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174"
"5","1","2","Warning (verbal or written)","54306","22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306"
"6","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"7","1","6","Custodial Arrest without warrant","52479","25400(A)(1) PC - CCW IN VEHICLE (F) 52479"
"7","2","6","Custodial Arrest without warrant","52479","25400(A)(1) PC - CCW IN VEHICLE (F) 52479"
"7","3","6","Custodial Arrest without warrant","52479","25400(A)(1) PC - CCW IN VEHICLE (F) 52479"
"7","4","6","Custodial Arrest without warrant","52479","25400(A)(1) PC - CCW IN VEHICLE (F) 52479"
"8","1","6","Custodial Arrest without warrant","35138","11378 HS - POSS CNTL SUB FOR SALE (F) 35138"
"8","1","6","Custodial Arrest without warrant","35139","11379 HS - TRANSP/ETC CNTL SUB (F) 35139"
"8","1","6","Custodial Arrest without warrant","35276","11351 HS - POS/PUR F/SALE NARC/C/SUB (F) 35276"
"8","1","6","Custodial Arrest without warrant","35154","11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154"
"8","2","6","Custodial Arrest without warrant","35276","11351 HS - POS/PUR F/SALE NARC/C/SUB (F) 35276"
"8","2","6","Custodial Arrest without warrant","35154","11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154"
"8","2","6","Custodial Arrest without warrant","35138","11378 HS - POSS CNTL SUB FOR SALE (F) 35138"
"8","2","6","Custodial Arrest without warrant","35139","11379 HS - TRANSP/ETC CNTL SUB (F) 35139"
"9","1","4","In-field cite and release","54312","23247(E) VC - DRIVE W/O INTERLOCK DEV (M) 54312"
"10","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"11","1","1","None","",""
"12","1","6","Custodial Arrest without warrant","13242","4501(A) PC - ASSLT DEADLY WPN BY PRSNR (F) 13242"
"13","1","7","Field interview card completed","",""
"13","2","7","Field interview card completed","",""
"13","3","7","Field interview card completed","",""
"14","1","2","Warning (verbal or written)","32139","602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139"
"14","1","2","Warning (verbal or written)","32102","602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102"
"15","1","10","Psychiatric hold","",""
"16","1","2","Warning (verbal or written)","54141","21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141"
"17","1","3","Citation for infraction","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"17","1","3","Citation for infraction","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"17","1","3","Citation for infraction","66881","38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881"
"18","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"19","1","3","Citation for infraction","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"20","1","6","Custodial Arrest without warrant","13187","243(E) PC - BATTERY:SPOUSE/ETC (M) 13187"
"21","1","2","Warning (verbal or written)","35143","11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143"
"22","1","2","Warning (verbal or written)","54480","38335 VC - HEADLAMP VIOLATION (I) 54480"
"23","1","2","Warning (verbal or written)","54208","4454(A) VC - NO REGISTRATION IN VEH (I) 54208"
"24","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"25","1","4","In-field cite and release","35353","11377(A) HS - POSSESS CNTL SUB (M) 35353"
"26","1","2","Warning (verbal or written)","54522","21456.2(A) VC - BICYCLE OPR OBEY VEH LAWS (I) 54522"
"27","1","7","Field interview card completed","",""
"28","1","2","Warning (verbal or written)","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880"
"29","1","3","Citation for infraction","66412","24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412"
"30","1","7","Field interview card completed","",""
"31","1","3","Citation for infraction","42127","12500(A) VC - DRIVE W/O LICENSE (I) 42127"
"32","1","7","Field interview card completed","",""
"32","2","7","Field interview card completed","",""
"33","1","7","Field interview card completed","",""
"33","2","7","Field interview card completed","",""
"34","1","2","Warning (verbal or written)","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438"
"34","2","2","Warning (verbal or written)","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438"
"35","1","3","Citation for infraction","54149","22108 VC - FAIL SIGNAL B/4 TURN VEH (I) 54149"
"36","1","2","Warning (verbal or written)","66412","24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412"
"37","1","6","Custodial Arrest without warrant","23087","484(A) PC - PETTY THEFT (M) 23087"
"38","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"39","1","1","None","",""
"40","1","3","Citation for infraction","54212","22348(B) VC - DRIVE IN EXCESS 100 MPH (I) 54212"
"41","1","7","Field interview card completed","",""
"42","1","7","Field interview card completed","",""
"43","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"44","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"45","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"46","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"47","1","3","Citation for infraction","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"48","1","7","Field interview card completed","",""
"49","1","3","Citation for infraction","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"50","1","7","Field interview card completed","",""
"51","1","2","Warning (verbal or written)","54144","24603(B) VC - STOPLAMPS VIOL:SPEC VEH (I) 54144"
"52","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"53","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"54","1","6","Custodial Arrest without warrant","66099","978.5 PC - BENCH WARRANT:FTA:FELONY (F) 66099"
"55","1","3","Citation for infraction","54083","14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083"
"55","1","3","Citation for infraction","54004","14601(A) VC - DRIV:SUSP/ETC LIC:RECKLES (M) 54004"
"56","1","2","Warning (verbal or written)","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"57","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"57","1","9","Contacted parent/legal guardian or other person responsible for the minor","",""
"58","1","2","Warning (verbal or written)","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"59","1","2","Warning (verbal or written)","32107","602(R) PC - TRESPASS:SKI CLOSED AREA (M) 32107"
"60","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
